"","Question","Answer"
"1","السؤالما حكم التدخين للشباب ابتداءً؟  ","بسمه سبحانه قد أوضحنا في فتاوينا منذ فترة أنه إذا حكم الطبيب الحاذق أن التدخين مضر فيجب على المتعود الامتناع عن التدخين تماماً. بل قلنا إن الذي ليس متعوداً على التدخين لا يجوز له تعويد نفسه وإن حصل التعود ومنعه الطبيب فيجب عليه الامتناع وإن صرّح الأطباء أنه غير مضر - مثلاً - فيجوز للمتعود الاستمرار. وأما إحداث التعويد فلا يجوز. والله العالم"
"2","السؤالهل تجوز التجارة والعمل بالتبغ (السجائر والتبغ)؟","بسمه سبحانه يجوز. والله العالم"
"3","السؤالأنا من البحرين ونويت أن أجري عملية تكميم المعدة لأن وزني زائد كثيراً أي  حوالي (40) كيلو فهل العملية جائزة ؟ طبعاً إذا كانت جائزة سأقوم بها خارج البحرين ولكن لا استطيع أن أجلب ما يقطع من المعدة إلى البحرين فهل يجوز رميه في المستشفى حيث المستشفى يتصرف بالتخلص منه ؟","بسمه سبحانه إن توقف العلاج على ذلك فيجوز . و الله العالم"
"4","السؤاليوجد ما يسمى بالطب الاستنباطي وفيه استنباط أحكام طبية من روايات أهل البيت (عليهم السلام) و إجراء الاستنباط عليها مما صح سنداً .هل هكذا أطروحة تامة ويمكن العمل عليها؟ 
هل يعذر المكلف إن عمل بهكذا طب وحصل ضرر كأن يترك مريض السكر الأنسولين والموصوف له من طبيب ؟ هل يصح تسويق العمل بها على أنه متابعة ومعرفة بأهل البيت (عليهم السلام) و أن المتوقف راد عليهم (سلام الله عليهم) ؟
","بسمه سبحانه اعلم يا بني أن معرفة الأحكام الطبية و كذلك معرفة الأمراض و معرفة العلاج و ما يتعلق بتشخيص المرض بنحو صحيح لا يكون إلا أن يكون للإنسان خبرة و حنكة بما أشرنا إليه . فإن وفق أحد لإتقان الجوانب التي أشرنا إليها فحاله حال الأطباء الجدد و الأطباء القدماء الذين كانوا يداوون و مازالوا في بعض البلاد بالعقاقير. و الله العالم "
"5","السؤالهل يحرم استخدام الفواكه لوضعها على بشرة الجسم للعلاج أم هذا انتهاك لنعمة الله تعالى؟","بسمه سبحانه إذا انحصر العلاج فيه فلا إشكال . و الله العالم"
"6","السؤالبعض الأدوية تستخلص من أسماك محللة ولكن لا يعلم هل هي مذكاة أو لا علماً أن منشأها بلاد غير إسلامية فما هو حكم بيعها ، و تناولها؟","بسمه سبحانه لا يجوز الاستعمال بدون إحراز تذكية الحيوان الذي أخذ الدواء منه بالنحو المطلوب شرعاً.
نعم إذا انحصر الدواء بهذا الحيوان فيباح للضرورة. والله العالم
"
"7","السؤالهل تدخين السجائر جائز أم لا؟","بسمه سبحانه قد أوضحنا في فتاوينا منذ فترة أنه إذا حكم الطبيب الحاذق أن التدخين مضر فيجب على المتعود الامتناع عن التدخين تماماً. بل قلنا أن الذي ليس متعوداً على التدخين لا يجوز له تعويد نفسه وإن حصل التعود ومنعه الطبيب فيجب عليه الامتناع. وإن صرح الأطباء أنه غير مضر - مثلاً - فيجوز للمتعود الاستمرار. وأما إحداث التعويد فلا يجوز. والله العالم"
"8","السؤالأعمل في مجال مكافحة السرطان ومن أكثر الأمور التي تستعصي علينا هي التدخين بكافة أشكاله يوجد المئات من الدراسات التي تربط مضار التدخين بالسرطان والموت حول العالم ومنطقة الشرق الأوسط من أكثر البلدان المدخنة وقد وجدت أن في الاستفتاءات لدى أغلب المراجع إحالة الأمر إلى المكلف بتشخيص الضرر وهو أمر لا يمنعه أبداً رغم وجود هذا الضرر بحسب العقلاء مما يجعل المكلف معذوراً شرعاً، إن هذه الآفة تقتل الآلاف حول العالم ونناشدكم بمساعدتنا للحد منها عبر توجيهاتكم وخطابكم لمنعها بالشكل الذي ترونه مناسباً. وأنا على استعداد لتقديم كل المستندات اللازمة لتأييد المدعى والضرر الذي يسببه التدخين؟","بسمه سبحانه قد أوضحنا في فتاوينا منذ فترة غير قصيرة أنه إذا حكم الطبيب الحاذق أن التدخين مضر بالنحو الذي ذكرت فيجب على المتعود الامتناع عن التدخين تماماً. بل قلنا أن الذي ليس متعوداً على التدخين لا يجوز له تعويد نفسه. وإن حصل التعود ومنعه الطبيب فيجب عليه الامتناع وإن صرح الأطباء أنه غير مضر- مثلاً - فيجوز للمتعود الاستمرار وأما إحداث التعويد فلا يجوز. والله الهادي وهو العالم"
"9","السؤالما هو رأي سماحتكم في من يتواجد في الصيدليات الخاصة من غير ذوي الاختصاص من الصيادلة ويقوم بصرف الأدوية للناس كالمعلمين والمهندسين والممرضين وغيرهم الكثير. بحجة أن لهم معرفة أو عملوا لفترة في هذا المجال علماً أن نقابة الصيادلة ودوائر الصحة لا ترضى بذلك ولا تجيز ذلك وما هو حكم المال الذي يتقاضوه؟ وما حكم الصيادلة الذين يسمحون لهم بالتواجد في صيدلياتهم بمفردهم؟ ","بسمه سبحانه إعلم يا بني أن من ذكرتهم ممن يعمل في الصيدلية عمله حسب العادة منحصر في صرف وبيع الدواء المكتوب بالوصفة للطبيب ولا يقوم بتشخيص المرض للمريض ولا تعين الدواء له نعم الأفضل بل اللازم أن لا يتولى العمل المذكور إلا من كان يعلم ويتقن ذلك حتى لا يقع في خطأ في صرف الدواء والله العالم."
"10","السؤالفي بعض الأحيان يكون هناك زيادة في المواد المختبرية لا يقبل المدير في إستلام هذه المواد منا. هل يمكن لنا إجراء تحاليل لبعض الفقراء الذين لا يملكون أجور التحاليل بهذه المواد لأن المبلغ الذي وضعته وزارة الصحة كبير مع العلم أن هذا العمل لا يؤثر على قوانين الوزارة من الناحية القانونية لأن هذه المواد هي في الأصل زيادة.","بسمه سبحانه يجوز ما ذكرت بتحصيل الرخصة من الجهات المختصه فقط. والله العالم"
"11","السؤالفي المراكز الصحية ينتهي الدوام الساعة ((300 ظهراً)) ولكن بعض الموظفين يخرجون قبل إنتهاء الوقت بوقت ليس بقليل بأمر من المدير وتتكرر هذه الحالة تقريباً يومياً بسبب علاقة الموظفين مع مدير الدائرة ما حكمنا نحن نخرج أم لا. وما حكمهم من جهة الراتب. ","بسمه سبحانه لا يجوز الخروج حتى إذا أذن المدير ما دام الخروج غير قانوني ولا يحق للمدير أن يسمح لأي موظف أن يخون في عمله وإن لم يعوض الموظف ما أتلفه من الوقت بعمل إضافي فهو خائن ويأخذ الراتب بدون الإستحقاق. والله الهادي"
"12","السؤالخروج بعض الموظفين أثناء الدوام الرسمي إلى أماكن قريبة من مكان عملهم ولكن ليس لأجل العمل وإنما لمصالحهم الشخصية ويكون هذا الخروج لا يؤثر على العمل ما حكم الراتب في هذه الحالة التي يخرج بها.  ","بسمه سبحانه أما الخروج فمحرم وعليه أن يعوض عن الوقت الذي صرفه بإضافة العمل في نفس اليوم أو غيره من الأيام وإن لم يفعل فهو خائن. والله الهادي وهو العالم"
"13","السؤالهناك من الموظفين من يخرجون من غرفهم إلى غرف أخرى مثلاً من المختبرات إلى غيرها أثناء الدوام الرسمي وليس بعمل رسمي وإنما من أجل إجراء الحديث الشخصي وذلك أحياناً يؤثر على مجرى العمل وأخرى لا يؤثر. ","بسمه سبحانه لا يجوز للموظف ترك موقع عمله بدون مسوغ قانوني كما لا يجوز له أن يفعل ذلك لغاية شخصية. والله العالم"
"14","السؤالإن دوام الدوائر الصحية يبدأ من الساعة ((830 صباحاً)) إلى الساعة ((300 ظهراً)) وفي هذه الأثناء يقوم بعض الموظفين بصلاة القضاء والأكل وإجراء بعض المكالمات الهاتفية ما الحكم في هذه الصورة؟  ","بسمه سبحانه إذا فعل الموظف ما ذكرت في وقت فراغه عن العمل الذي هو مكلف لإنجازه ولم يخرج من الدائرة فلا بأس. والله العالم"
"15","السؤالهناك مواد تحليل تكون نتائجها مقبولة لكنها أصبحت قديمة في الإستعمال ((إنتهت مدة الصلاحية)) لا يمكننا أن نرجعها إلى وحدة المختبر خوفاً من العقوبة وعندما أبلغنا المدير عن ((إنتهاء الصلاحية)) أجبرنا على العمل بها. هل يمكن أن نتلف تلك المواد بدون علم الإدارة.","بسمه سبحانه إذا كانت الأجزاء تالفة لإنتهاء الصلاحية ولا يصح العمل بها فيجوز إتلافها خوفاً من أن يقع أحد المرضى فريسة لاستخدام مثل تلك المواد التالفة والفاقدة لصلاحيتها في العمل. والله العالم"
"16","السؤالفي الكثير من المركز الصحية هناك أجهزة مختبرية يتم إستلامها من المدير على أنها كاشفة لنوع من التحاليل ولكنها تستعمل في الكشف عن تحليل آخر ليس لهُ أي صلة في نوع التحليل الأول الذي أستلمت من أجله.
مرة يتم التبليغ عنها من قبل الموظف. وأخرى نكون فيها مجبرين على العمل عليها بسبب فرض عقوبة علينا من قبل المدير هل يحق لنا تعطيل تلك الأجهزة. مع العلم أنها لا تعطي النتيجة الصحيحة للمريض وفيها خطر على صحته.  ","بسمه سبحانه لا يجوز التجاوز على القانون كما لا يجوز إستعمال الأجهزة في غير موردها فإن ترتب على هذا العمل ضرر على المريض ضمن المقصر. والله الهادي"
"17","السؤالفي بعض الأحيان يكون خروج بعض الموظفين إلى بيوتهم أو إلى قضاء بعض المصالح الشخصية مرة بعلم المدير المسؤول و أخرى بدون علمه ((بدون إجازة)) رسمية وقد يؤثر خروجهم على بعض ((الموظفين وكذلك على مجرى العمل أو لا يؤثر)) ","بسمه سبحانه لا يجوز له هذا العمل فإنه خيانة ولا يحق للمدير أن يأذن لأحد خلاف القانون ومن يفعل ذلك فهو خائن لأموال المسلمين. والله الهادي"
"18","السؤالما الحكم الشرعي للتشريح الجنائي أي التشريح الذي تأمر به السلطات القضائية المختصة بالتحقيق وتنفذه دوائر الطبابة العدلية أو ما يعرف بتشريح جثة الإنسان لمعرفة السبب الحقيقي للوفاة؟","بسمه سبحانه جرح جثمان الميت المسلم أو قطع شيء من جسده أو شق الجثمان محرم لا يجوز ارتكابه إلا إذا توقف إثبات حق للميت أو للحي المسلم على ذلك وإن أراد صاحب الحق ذلك وطلب التشريح فعليه أن يتحمل دية جرح جثة المسلم وهذه الدية تختلف باختلاف الجروح والتقطيع الذي يتوقف إثبات الحق عليه وتكون تلك الدية عندي للإمام (عجل الله تعالى فرجه) ولا يدخل في الدية التي يتملكها الوارث للمجني عليه والله العالم."
"19","السؤالطلاب كلية الطب تعينهم الدولة بعنوان طبيب مقيم في المستشفى مقابل رواتب مخصصة فيكون مبيتهم في الدور المخصصة لهم في المستشفيات كجزء من متطلبات إعدادهم كأطباء هل يجوز لهم ترك المستشفى خلال هذه المرحلة و العمل أيضاً في المستشفيات الأهلية خلافاً لشروط عملهم في الدولة ؟","بسمه سبحانه في مفروض السؤال يجب على الطبيب الإلتزام بوظيفته القانونية. والله العالم"
"20","السؤالهل يجوز العمل بالطب العدلي والذي يشتمل على تشريح جثث المسلمين بالنسبة للموظفين الذين يعملون عملاً إدارياً بعيداً عن التشريح وما حكم الراتب المأخوذ في هذه الحالة؟","بسمه سبحانه أما الوظيفة الإدارية فإذا لم ترتكب محذوراً شرعياً فلا بأس. والله العالم"
"21","السؤاليقوم بعض الأطباء بإرسال مرضاهم إلى مختبرات تحليل معينة لأجل الأشعة أو السونار وغيرها أو صيدليات معينة على أساس وجود إتفاق بينهما وإعطاء مبالغ للطبيب لإغرائه بإرسال مرضاه إليهم, فما هو الحكم الشرعي في ذلك؟","بسمه سبحانه لا يجوز للطبيب أن يأمر بالتحليل أو الأشعة أو السونار الذي ليس ضرورياً في العلاج كما لا يجوز له أن يكتب للمريض دواءً وهو غير محتاج إليه فإن فعل كان مرتكباً للحرام ومضيعاً لأموال المسلمين.
وإذا لم يتجاوز الطبيب مقتضى ما يفرض عليه علمه وأخلاقه ودينه في تعين الفحص أو الدواء الصحي للمريض فلا بأس. والله العالم"
"22","السؤالعمليات تغيير الجنس سواء كان تحويل الذكر إلى أنثى أو العكس و في الأول يجري إستئصال العضو الذكري و بناء مهبل و عملية خصاء و تكبير الثديين . و في الحالة الثانية إستئصال الثديين و بناء عضو ذكري و إلغاء القناة التناسلية الأنثوية بدرجات متفاوتة ، و يصحب كل ذلك علاج نفسي و هرموني . و هؤلاء المرضى يشعرون بكراهية للجنس الذي ولدوا عليه نتيجة لعوامل مختلفة و قد يعود أغلبها إلى فترات مبكرة في حياة الإنسان و تربية غير سليمة ، و هم لا يوجد أي لبس في تحديد جنسهم ، سواء مظهرياً أو غيره عند الولادة كحالات خنثى غير الكاملة . و كثير منهم يقوم بدوره كاملاً و يتزوّج و ينجب على حالته التي خلقه الله سبحانه و تعالى عليها ، ثم ينتاب هؤلاء المرضى شعور يأخذ بالطغيان و طالما كان مكبوتاً لرغبة في التخلي عن جنسه الطبيعي . ما هو رأيكم الشريف في هذه المسألة ؟ و ما هو الحكم في كل حالة من هذه الحالات ؟","بسمه سبحانه لا يجوز إجراء مثل هذه العمليات . و الله العالم "
"23","السؤالأعمل في مجال الطب على جهاز المفراس في مستشفى الأورام السرطانية لتحديد مكان الورم و هذا الجهاز يستخدم لفحص الذكر و الأنثى علماً إني متدرب حديث في هذا المجال و الكادر الموجود معي فقط دكتورة و في بعض الأحيان يصادف سفر أو أجازة للدكتورة و أبقى أنا فقط و لكي أفحص المرأة المريضة يستوجب فحصها عارية ... علماً أني في بعض أمور الفحص يجب عليّ تعلمها كوني متدرب جديد و لكي أتعلمها تقوم الدكتورة بتعليمي إياها مع المريضة فهل هناك إشكال شرعي في عملي هذا ؟ و مثلما قلت ليس هناك كادر سوانا أنا و الدكتورة ؟ ","بسمه سبحانه إن كنت مضطراً إلى النظر إلى جسد الأجنبية كما ذكرت فيجوز لك بالمقدار اللازم و لا يجوز لك التجاوز عن ذاك المقدار . و الله الهادي و هو العالم"
"24","السؤالما دام كل علبة سجائر مكتوب عليها إن التدخين خطر و مضر بالصحة و ما دام كل المجمع الطبي يقر بمضاره على الصحة ، ألا يكون هذا كافياً لتحريم السجائر ؟","بسمه سبحانه قد أفتينا في هذا الموضوع منذ أمد بعيد بما ملخصه إن كان الشخص قد تعود التدخين و منعه الأطباء الأخصائيون فيجب عليه أن يمتنع و إن لم يمنعه الأطباء فيجوز له الإستمرار . و أما غير المتعود فلا يجوز له تعويد نفسه . و الكتابة على العلب وحدها غير كافية لإثبات الحكم الشرعي . و الله العالم"
