"","Question","Answer","bookmark"
"1","
1
السؤال: ما هو المستحب القيام به للمولود؟","الجواب: يستحب غَسلُ المولود عند وضعه مع الأمن من الضرر، والأذان في أذنه اليمنى والإقامة في اليسرى فإنّه عصمة من الشيطان الرجيم كما ورد في الخبر، ويستحب أيضاً تحنيكه بماء الفرات وتربة الحسين (عليه السلام)، وتسميته بالأسماء المستحسنة فإنّ ذلك من حقّ الولد على الوالد، وفي الخبر: (إنّ أصدق الأسماء ما سمّي بالعبوديّة، وخيرها أسماء الأنبياء صلوات الله عليهم أجمعىن)، وتلحق بها أسماء الأئمّة (عليهم السلام)، وعن النبي (صلى الله عليه وآله) أنّه قال: (من ولد له أربعة أولاد ولم يسمّ أحدهم باسمي فقد جفاني)، ويكره أن يكنّيه أبا القاسم إذا كان اسمه محمّداً، كما يكره تسميته بأسماء أعداء الأئمّة (صلوات الله عليهم)، ويستحبّ أن يحلق رأس الولد يوم السابع، وأن يتصدّق بوزن شعره ذهباً أو فضّة، ويكره أن يحلق من رأسه موضعاً ويترك موضعاً.","/arabic/qa/20334/"
"2","
2
السؤال: يسبح الجنين في رحم أمه بسائل يخرج حين الولادة أو قبلها ممزوجاً بالدم أحياناً ومن دونه أخرى، فهل هذا السائل طاهر إذا خرج من دون دم؟","الجواب: نعم هو طاهر في هذه الصورة.","/arabic/qa/22162/"
"3","
3
السؤال: هل يجوز للمرأة ان تضع اللولب المانع من الحمل؟","الجواب: يجوز ولكن اذا توقف وضعه في الرحم على ان يباشر ذلك غير الزوج كالطبيبه وتنظر او تلمس من دون حائل ما يحرم كشفه لها اختيارا كالعورة لزم الاقتصار في ذلك على مورد الضرورة كما ان كان الحمل مضرا بها او موجبا لوقوعها في حرج شديد لا يتحمل عادة ولم يكن يتيسر لها المنع منه ببعض طرقه الاخرى او كانت ضرورية او حرجية عليها كذلك هذا اذا لم يثبت لها ان استعمال اللولب يستتبع تلف البويضة بعد تخصيبها والا فالاحوط لزوما الاجتناب عنه مطلقا.","/arabic/qa/26297/"
"4","
4
السؤال: ما حكم شراب الشعير الموجود في بعض الحلويات (الشوكولاتة)مثل (جواهر) حيث انه مكتوب من ضمن المكونات شراب الشعير فقط وشكرا ؟
الجواب: حلال مالم يعلم اسكاره.","
","/arabic/qa/26316/"
"5","
1
السؤال: هل تستحب الاستعاذة قبل الشروع في القراءة للصلاة؟","الجواب: الاستعاذة قبل الشروع في القراءة في الركعة الأولى مستحبة والأنسب تركها في غير ذلك، وهكذا التصديق.","/arabic/qa/21610/"
"6","
1
السؤال: ربما تنطق المرأة غير المسلمة الشهادتين لغرض الزواج دون احتمال معتد به عند سامعها أنّها قد آمنت بالإسلام حقاً، فهل يرتِّب سامعُها آثارَ المسلمة عليها؟
الجواب: نعم فيكفي ان تتشهد الشهادتين وان لم يوافق قلبها لسانها.","
","/arabic/qa/9130/"
"7","
1
السؤال: إذا وقف الرجل ليصلي فجائت المرأة ووقفت محاذية له أو متقدمة عليه وشرعت في الصلاة فهل تبطل بذلك صلاة المرأة فقط أم تبطل صلاة الرجل أيضاً؟ وما هو الحكم في عكس المسألة؟
الجواب: تبطل الصلاتان معاً على الأحوط وجوباً فإن المختار أن مانعية المحاذاة أو تقدم المرأة لا يختص بصلاة من شرع فيها لاحقاً.","","/arabic/qa/20363/"
"8","
1
السؤال: صليت الفرض وحسبت أنّ الأذان قد أذّن، فما الحكم هنا؟","الجواب: إذا تبيّن أنّ الصلاة وقعت قبل الوقت لزم إعادتها.","/arabic/qa/2178/"
"9","
2
السؤال: هل يجوز الإتيان بالأذان والإقامة في الصلوات غير الواجبة مثل صلاة جعفر وصلاة الآيات وصلاة ليلة القدر؟","الجواب: مورد الأذان والإقامة الفرائض اليوميّة فقط، ولا يشرعان في النوافل، ولا في الفرائض غير  اليوميّة.","/arabic/qa/2179/"
"10","
3
السؤال: لو أخطأت في الإقامة وواصلت فهل تكون صلاتي صحيحة؟","الجواب: الإقامة مستحبة فيجوز تركها، ولايضر الخطأ فيها بصحّة الصلاة.","/arabic/qa/2180/"
