"","Question","Answer","bookmark"
"1","
1
Question: Is it permissible to eat foods prepared by Christians and Jews?","Answer: Since the followers of the past revealed religions (that is, the Jews, the Christians and the Zoroastrians) are ritually pure, many of the problems concerning the status and permissibility of the food are resolved when we live with them. It becomes permissible for us as Muslims to eat from their food no matter whether they touched it with their wet hands or not, as long as we do not know or are not sure that it consists of what is forbidden to us, like Haram meat.","/english/qa/15598/"
"2","
2
Question: Is it permissible to eat food prepared from non-Ahlul Kit<U+00E3>b (i.e. Those who are neither Christians, Jews, nor Zoroastrians) people?","Answer: A Muslim is allowed to eat the food prepared by someone who is not from Ahlul Kit<U+00E3>b [for example, a Hindu or a Buddhist], provided that he does not know or is not sure that the non-Ahlulkitab touched the food with wetness; and provided that he does not know or is not sure that the food consists of what is forbidden to him like for example, Haram meat, fat and their extracts. ","/english/qa/15599/"
"3","
3
Question: What is the fatwa about Ahlul Kitab? Are they ritually pure (Tahir)?","Answer: The Ahlul Kitab (that is, the Christians, the Jews and the Zoroastrians) are ritually pure (Tahir) as long as you do not know that they have become ritually impure (najis) by coming into contact with an impure object.","/english/qa/15600/"
"4","
4
Question: Can I eat Christians' foods that contain meat?","Answer: All kinds of food with the exception of meat, fat, and their extracts are permissible for a Muslim, even if he doubts that it might contain something which is forbidden for him.","/english/qa/15362/"
"5","
1
Question: In certain cases doctors advise that the foetus is so deformed that it could be very difficult to treat the born baby and, perhaps, it (the child) would live a very short time suffering pain and agony with his parents, then dies. Is it permissible for the would be mother to abort the foetus? Also, is there any difference between the foetus with a spirit and that which the spirit has not yet entered into yet? Assuming it is permissible, should compensation [or blood money] be payable? Who should pay it?","Answer: Abortion in this case is not permissible, even though the soul has not entered the foetus, [let alone a foetus with a soul] .","/english/qa/15432/"
"6","
2
Question: Is a mother allowed to abort the feotus, if she does not want it while the soul has not yet entered it and there is no serious danger to the mother’s life?","Answer: She is not allowed to do that, except if the continuation of the pregnancy would considerably harm her health or put her in an unbearable difficulty, then it is permissible before the soul enters the feoutus (i.e. the fourth month).","/english/qa/15625/"
"7","
3
Question: Sometimes the doctors reach the following conclusion: This foetus is afflicted with a very serious disease; it is therefore preferable that it should be aborted because if that child is born, it will be deformed or will die soon after birth. Is it, therefore, permissible for the doctor to abort the foetus? Is it permissible for the mother to agree to the abortion? And who of the two will become liable for indemnity?","Answer: Just the fact that the child will be deformed or that it will not live for a long time after his birth does not ever justify the termination of the pregnancy. Therefore, it is not permissible for the mother to consent to the abortion just as it is not permissible for the doctor to go ahead with the procedure. And whoever performs the abortion will become liable for the payment of indemnity.","/english/qa/15626/"
"8","
4
Question: What is your ruling on aborting an “unwanted pregnancy” before 4 months into the pregnancy?","Answer: It is not permissible .","/english/qa/15627/"
"9","
5
Question: What is the kaffara of abortion?","Answer: In case the mother aborts the child, she must give the indemnity (blood money) to the father or other heirs. And if the father carries out the abortion, the indemnity is obligatory on him and he must give it to the mother.  If it is the doctor who carries out the abortion, it is obligatory on him to give the blood money to the mother and father, even if he may abort the fetus on the parents’ request. He must give the blood money except if the heirs (i.e. the mother and father)exempt him. 
It would suffice for the blood money of the fetus into which soul has entered to give 5250 mithqals of silver. That is when the fetus is male and if it is female, half of that amount should be paid. 
If the fetus is lifeless and it is in the form of a fertilized ovum (zygote), 105 mithqals of silver would suffice for the blood money. In case it is in the form of a leech-like substance, the indemnity is 210 mithqals. If it develops into a chewed-like substance, the indemnity is 315 mithqals. If the fetus has bones, 420 mithqals of silver would suffice. If it has developed into a complete human body with grown up limbs and organs, the indemnity is 525 mithqals of silver. If the fetus is soulless, there is no difference between a male fetus and a female one as an obligatory precaution. The Soul enters the body at the fourth month of pregnancy except for when it is proved otherwise through modern technology. 
If the fetus is alive and it is aborted, the indemnity is 5250 mithqal of silver for a male child and 2625 mithqal for a female child. 
*Every mithqal of silver is equivalent to 4.64 g of Silver.*","/english/qa/25270/"
"10","
6
Question: I have a medical illness, and have become pregnant recently, under what circumstances is an abortion allowed?","Answer: Abortion is not allowed after the implantation of the [fertilized] ovum [on the lining of the womb], except if the mother’s life is in danger,  and in this case, it would be permissible to abort the foetus as long as the soul has not entered into it (i.e. before the end of 4 months); after the entering of the soul, it is not permissible, as an obligatory precaution.","/english/qa/15628/"
"11","
7
Question: What is the ruling on abortion for a pregnant woman who is infected with AIDS?","Answer: It is not permissible, only if continuation of the pregnancy poses a considerable harm to the health mother, it is permissible for her to abort it before the entering of the soul in the feotus, but not after it.","/english/qa/15629/"
"12","
1
Question: Are we allowed to adopt children and consider them as our own children?","Answer: It is permissible for a person to adopt a child and taking care of a deserving child on its own earns is a rewarding deed, but the child legally (Islamic Shariah) is not considered his son or daughter; i.e. the child remains non-mahram to him or his wife and he or she does not inherit from the ones who has adopted him or her. 
Adoption in the sense to change a child's surname and register him in the official documents as the parents own child is not permissible.","/english/qa/15622/"
"13","
2
Question: What is the stance of Islam in regards to adopting children and if a child is with the family from his or her early days and develops a bond, do the laws of Mahram and Non-Mahram still have to be observed?","Answer: Adoption in the sense of claiming a child as your own son or daughter and getting official legal documents for him or her in your name is not permissible. 
However, there is no Ishkaal (objection) in taking care of a child, raising him or her and showing love and care, which is in itself rewarding but the child's lineage has to be preserved. 
In addition, the child would remain non-Mahram once reached the age of Buloogh (puberty). 
At the appropriate moment, the child should be informed about it (being adopted0 and if one cannot inform the child, he should record it somewhere or ask someone to bear witness that he/she is not his child.","/english/qa/15623/"
"14","
1
Question: Whats the ruling of the various forms alcohol that causes intoxication?","Answer: All forms of intoxicants are Haram (forbidden), whether they are Tahir (ritually pure ) or Najis.","/english/qa/15612/"
"15","
2
Question: What about using the families of alcohol that are synthesized from petroleum and are used in perfume, medicine etc are they Najis and cannot be used during prayer?","Answer: All kinds of alcohol (whether extracted from wood or other sources) are Tahir (ritually pure),  and are not permissible to drink, except for wine which is also Najis, and Beer (Maa al-Sha'eir) which is also Najis (ritually impure) as an obligatory precaution.. 
So, the medicines and the perfumes containing alcohol are pure and can be used. 
It is also permissible to eat such food if the amount of alcohol is very minute, e.g., 2%, except for wine.","/english/qa/26118/"
"16","
3
Question: What is the ruling about using perfume containing alcohol?","Answer: There is no problem in it.","/english/qa/15494/"
