"","X1_1","Question","Answer","Speaker"
"1",5,"

هل تستحب الاستعاذة قبل الشروع في القراءة للصلاة؟","الاستعاذة قبل الشروع في القراءة في الركعة الأولى مستحبة والأنسب تركها في غير ذلك، وهكذا التصديق.","السيستاني"
"2",NA,NA,NA,NA
"3",8,"

صليت الفرض وحسبت أنّ الأذان قد أذّن، فما الحكم هنا؟","إذا تبيّن أنّ الصلاة وقعت قبل الوقت لزم إعادتها.","السيستاني"
"4",9,"

هل يجوز الإتيان بالأذان والإقامة في الصلوات غير الواجبة مثل صلاة جعفر وصلاة الآيات وصلاة ليلة القدر؟","مورد الأذان والإقامة الفرائض اليوميّة فقط، ولا يشرعان في النوافل، ولا في الفرائض غير  اليوميّة.","السيستاني"
"5",10,"

لو أخطأت في الإقامة وواصلت فهل تكون صلاتي صحيحة؟","الإقامة مستحبة فيجوز تركها، ولايضر الخطأ فيها بصحّة الصلاة.","السيستاني"
"6",11,"

شخص كان يُدخِل الإقامةَ في الصلاة ويأتي بها بعد تكبيرة الإحرام فما حكم صلواته السابقة؟","إذا كان جاهلاً قاصراً معذوراً في جهله فصلواته صحيحة.","السيستاني"
"7",12,"

ما حكم المؤذِّن إذا سها في أذانه، ونسي أن يقول: (أشهد أن لا إله إلا الله) في بداية الأذان؟","لا شيء عليه مع السهو.","السيستاني"
"8",13,"

هل يجوز أن نصلّي قبل أن ينتهي المؤذِّن من الأذان؟","يجوز مع الوثوق بدخول الوقت.","السيستاني"
"9",15,"

دخلت في مجموعة أذّنوا لصلاة الجماعة وأقاموا لها، لكنّي لم أسمع الأذان ولا الإقامة ولم تنعقد الصلاة بعدُ ولكن كانت على شرف الانعقاد، فهل يستحب لي الاتيان بالأذان والإقامة ثم الالتحاق بالجماعة؟","يسقط الأذان والإقامة جميعاً في مفروض السؤال.","السيستاني"
"10",16,"

هناك من يدّعي أنّ سماحة السيد (حفظه الله) يرى سقوط الأذان ما بين الفريضتين إذا جُمِع بينهما وإن أُقيمت النافلة، فهل هذا المدّعى صحيح؟","إذا كان فعل النافلة يستغرق وقتاً معتداً به - كما هو المتعارف بين صلاتي المغرب والعشاء - فلا بأس بالأذان للثانية.","السيستاني"
"11",19,"

هل يجوز استعمال اقراص منع الحمل من دون رضا الزوج؟","يجوز بشرط ان لا يحلق بها ضررا بليغاً وان لم يرض الزوج بذلك.","السيستاني"
"12",21,"

هل يجوز الاستنساخ الحيواني والنباتي؟","يجوز في حد ذاته، واذا صدر النهي عنه ممن له الولاية الشرعية ـ رعاية لبعض المصالح العامة ـ يلزم اتباع نهيه وهكذا بالنسبة الي الاستنساخ البشري.","السيستاني"
"13",25,"

وظيفتي في المستشفي التنسيق بين من يود التبرع ببعض أعضائه حياً أو ميتاً وبين المحتاجين لذلك وهناك صور يجوز فيها التبرع كما ذكرتم في المسائل المستحدثة وهناك صور لا يجوز وعملي يشمل الجميع ومنها أن يكون التنسيق مع أهل الميت سريرياً مع بقاء قلبه بالنبض علي أخذ بعض الأعضاء منه إما لأجل إنقاذ حياة مسلم أو إنقاذ عضو من الأعضاء، فهل عملي محلل؟","ولكن الميت دماغياً مع استمرار رئتيه وقلبه في وظائفهما وان كان ذلك على تركيب اجهزة الانعاش الصناعية لا يعد ميتاً ويحرم قطع عضو مية لالحاقه ببدن الحي مطلقا.","السيستاني"
"14",26,"

في سويسرا منظمة للتبرع بأعضاء البدن عن الميت يعني اسجل اسمي في المنظمة وأعلمهم عن الشيء الذي اتبرع به ؟","في نفوذ الوصية بقطع اعضاء المسلم بعد موته لالحاقه ببدن الحي من غير ان تتوقف حياة الحي علي ذلك إشكال.","السيستاني"
"15",29,"

ماهي كفارة العادة السرية؟","لاكفارة فيها سوى التوبة النصوح.","السيستاني"
"16",30,"

هل يجوز استمناء الرجل بيد زوجته؟","نعم.","السيستاني"
"17",31,"

هل عرق الجنب من الاستمناء طاهر؟","طاهر وتجوز الصلاة فيه.","السيستاني"
"18",32,"

ما حكم من يستمني في نهار شهر رمضان وما هي كفارته ؟","اذا كان يعلم بالمفطرية او كان متردداً في مفطريته فصومه باطل واذا كان عالماً بل وجاهلاً مقصراً على الاحوط لزوماً تجب الكفارة مع القضاء ويكفيه في الكفارة ان يتصدق على ستين مسكيناً كل واحد 750 غراماً حنطة او خبزا واما اذا كان واثقاً بعدم المفطرية عن جهل قصوري او كان واثقاً من نفسه بعدم الانجرار الى الامناء ولكن اتفق ذلك من دون قصد مسبق فصومه صحيح.","السيستاني"
"19",33,"

ما جزاء من يمارس العادة السرية؟","فعل حراماً ويستحق التعزير ويجب ان يتوب ويستغفر الله مع العزم علي عدم العود.","السيستاني"
"20",34,"

لو ثبت ان المراة لاتمني فهل يجوز لها عمل العادة السرية؟","ليس للمراة مني كمني الرجل المشتمل علي الحويمنات ولكن ثبت بموجب النصوص الواردة عن ائمة الهدي (عليهم السلام) ان السائل الذي يخرج منها عند بلوغ الذروة في التهيج الجنسي بحكم المني في الرجل فيوجب نزوله منها الجنابة وكذا على الاحوط ما يخرج منها قبل ذلك اذا كان كثيراً, والعادة السرية كما هي محرمة في حق الرجل فكذلك محرمة في حق المراة.","السيستاني"
"21",35,"

ما حكم العادة السرية ولكن من غير خروج المني اي مجرد استرخاء الجسم وهل يجب الغسل؟","لا يجوز على الأحوط وجوباً ولا يجب الغسل.","السيستاني"
"22",36,"

اذا اراد الشخص ان يختبر مدى قدرته على الانجاب، فطلب منه الطبيب ان يخرج السائل المنوي ليفحصه، فهل يجوز له الاستمناء؟","ما دام غير مضطر لذلك فلا يجوز له الاستمناء .","السيستاني"
"23",38,"

ما هي الطريقة الصحيحة للاستبراء من البول؟","المسح بالاصبع من مخرج الغائط الي اصل القضيب ثلاث مرات ثم مسح القضيب باصبعين احدهمامن فوقه والاخرمن تحته الي الحشفة ثلاث مرات ثم عصر الحشفة ثلاث مرات.","السيستاني"
"24",39,"

هل يجب علي ان اغتسل كلما تبولت؟","لا يجب فاذا استبرءت بعد الجماع بالتبول واغتسلت فكل ما يخرج بعده فهو طاهر.","السيستاني"
"25",40,"

هل يكفي الإستبراء بالتبول قليلاً بعد الإحتلام ؟","نعم يكفي.","السيستاني"
"26",42,"

حينما أتبّول تبقى بعض قطرات البول تنزل بعد حدود الساعة أو أكثر فما حكم الصلاة في مثل هذه الحالة؟","اذا استبرأت بعد التبول فالبلل المشتبه الخارج بعد ذلك طاهر ولا يجب الفحص وكذا مايخرج بعد مدة طويلة يطمأن خلالها بعدم بقاء شيء في المجري.","السيستاني"
"27",43,"

ماهو حكم من شك في الاستبراء ؟","إذا شك في الاستبراء أو الاستنجاء بنى على عدمه ، وإن كان من عادته فعله . وإذا شك من لم يستبرئ في خروج رطوبة بنى على عدمها ، وإن كان ظاناً بالخروج .","السيستاني"
"28",46,"

ما هو تعريف (الحبائل) في روايات الاستبراء؟","الحبائل هو المذي والوذي.","السيستاني"
"29",47,"

لو لم استبرئ من البول ورايت بللاً بعد ذلك فهل احكم بنجاسته ام بطهارته ؟","اذا احتمل ان يكون البلل بولا او معه بول فهو نجس وتبطل الصلاة به ولكن لا يجب ان تفحص نفسك حتى لو شعرت بخروج شيء ما لم تعلم به.","السيستاني"
"30",50,"

ما هو المعتبر في المسح بالاستنجاء ؟","الأحوط ـ الأولى ـ اعتبار المسح بثلاثة أحجار أو نحوها ، وأن حصل النقاء بالأقل .","السيستاني"
"31",51,"

من شروط طهارة ماء الإستنجاء عدم تغير لونه ورائحته وطعمه ،ولكن أثناء إستعمال اليد في الإستنجاء من البول والغائط تبقي رائحة في اليد من جراء غسل موضع الغائط فهل يعتبر الماء الذي علي اليد نجس ويجب تطهير اليد ؟","العبرة برائحة الماء لا اليد فاذا كان الماء تغير لونه او رائحته بالنجاسة لم يعف عنه واما اليد فهي تطهر بتبع طهارة الموضع وان كان فيه رائحة النجاسة .","السيستاني"
"32",53,"

ما حكم الاستنجاء بالاجسام المحترمة ؟","يحرم الاستنجاء بالأجسام المحترمة في الشريعة المقدسة،ولو استنجى بها عصى لكن يطهر المحل.","السيستاني"
"33",54,"

كيف يتم تحديد نوع الاستحاضة ؟","اذا لم يغمس الدم القطنة فالاستحاضة قليلة واذا غمسها ولم يتجاوزها فمتوسطة وان تجاوزها فكثيرة.","السيستاني"
"34",55,"

هل يمكن استخدام غير القطنة في تمييز الاستحاضة الكثيرة عن غيرها ؟","نعم تستخدم ما يشابه القطنة كالخرقة المنسوجة منها أو غيرها مما يكون مشابهاً للقطنة في اقتضاء المنع من خروج الدم وفي نفوذه فيها على تقدير كون الاستحاضة متوسطة أو كثيرة وتلوثها به على تقدير كونها قليلة ولا يجب التدقيق الزائد في المشابهة المذكورة .","السيستاني"
"35",59,"

ما حكم صوم من تركت اغسالها الثلاثة في استحاضتها الكثيرة ؟","لا يشترط في صحة صوم المستحاضة الأغسال النهارية التي هي للصلاة بل وكذا الغسل لليلة الآتية وإن كان هو الأحوط الأولى .","السيستاني"
"36",62,"

هل يجب على المستحاضة حين الصلاة ان تمنع خروج الدم؟","نعم يجب التحفّظ من خروج الدم بعد الغسل فوراً الى الانتهاء من الصلاة.","السيستاني"
"37",63,"

في حالة الاستحاضة هل يجوز الصوم والصلاة في شهر رمضان علما بان متواصلة؟","نعم وتقوم بوظائف المستحاضة بالنسبة الى الصلاة.","السيستاني"
"38",64,"

ما حكم رجل استهان برسول الله (ص) وبأهل البيت (ع) ؟","لا يحكم بكفره إلا إذا أعلن عدائه لرسول الله (صلى الله عليه وآله وسلم) ولأهل البيت(عليهم السلام).","السيستاني"
"39",65,"

ما حكم الصلاة خلف من اقامها قبل دخول الوقت ؟","لا يُجتزأ بها حينئذٍ .","السيستاني"
