"","X.1","Question","Answer","Speaker","Words_Q","Words_A"
"6",6,"

Is a mother allowed to abort the feotus, if she does not want it while the soul has not yet entered it and there is no serious danger to the mother’s life?","She is not allowed to do that, except if the continuation of the pregnancy would considerably harm her health or put her in an unbearable difficulty, then it is permissible before the soul enters the feoutus (i.e. the fourth month).","Sistani","pregnancy","pregnancy"
"7",7,"

Sometimes the doctors reach the following conclusion: This foetus is afflicted with a very serious disease; it is therefore preferable that it should be aborted because if that child is born, it will be deformed or will die soon after birth. Is it, therefore, permissible for the doctor to abort the foetus? Is it permissible for the mother to agree to the abortion? And who of the two will become liable for indemnity?","Just the fact that the child will be deformed or that it will not live for a long time after his birth does not ever justify the termination of the pregnancy. Therefore, it is not permissible for the mother to consent to the abortion just as it is not permissible for the doctor to go ahead with the procedure. And whoever performs the abortion will become liable for the payment of indemnity.","Sistani","pregnancy,mother,abortion,abortion","pregnancy,mother,abortion,abortion"
"9",9,"

What is the kaffara of abortion?","In case the mother aborts the child, she must give the indemnity (blood money) to the father or other heirs. And if the father carries out the abortion, the indemnity is obligatory on him and he must give it to the mother.  If it is the doctor who carries out the abortion, it is obligatory on him to give the blood money to the mother and father, even if he may abort the fetus on the parents’ request. He must give the blood money except if the heirs (i.e. the mother and father)exempt him. 
It would suffice for the blood money of the fetus into which soul has entered to give 5250 mithqals of silver. That is when the fetus is male and if it is female, half of that amount should be paid. 
If the fetus is lifeless and it is in the form of a fertilized ovum (zygote), 105 mithqals of silver would suffice for the blood money. In case it is in the form of a leech-like substance, the indemnity is 210 mithqals. If it develops into a chewed-like substance, the indemnity is 315 mithqals. If the fetus has bones, 420 mithqals of silver would suffice. If it has developed into a complete human body with grown up limbs and organs, the indemnity is 525 mithqals of silver. If the fetus is soulless, there is no difference between a male fetus and a female one as an obligatory precaution. The Soul enters the body at the fourth month of pregnancy except for when it is proved otherwise through modern technology. 
If the fetus is alive and it is aborted, the indemnity is 5250 mithqal of silver for a male child and 2625 mithqal for a female child. 
*Every mithqal of silver is equivalent to 4.64 g of Silver.*","Sistani","mother,abortion,mother,abortion,mother,mother,female,female,pregnancy,female","mother,abortion,mother,abortion,mother,mother,female,female,pregnancy,female"
"10",10,"

I have a medical illness, and have become pregnant recently, under what circumstances is an abortion allowed?","Abortion is not allowed after the implantation of the [fertilized] ovum [on the lining of the womb], except if the mother’s life is in danger,  and in this case, it would be permissible to abort the foetus as long as the soul has not entered into it (i.e. before the end of 4 months); after the entering of the soul, it is not permissible, as an obligatory precaution.","Sistani","mother","mother"
"11",11,"

What is the ruling on abortion for a pregnant woman who is infected with AIDS?","It is not permissible, only if continuation of the pregnancy poses a considerable harm to the health mother, it is permissible for her to abort it before the entering of the soul in the feotus, but not after it.","Sistani","pregnancy,mother","pregnancy,mother"
"12",12,"

Are we allowed to adopt children and consider them as our own children?","It is permissible for a person to adopt a child and taking care of a deserving child on its own earns is a rewarding deed, but the child legally (Islamic Shariah) is not considered his son or daughter; i.e. the child remains non-mahram to him or his wife and he or she does not inherit from the ones who has adopted him or her. 
Adoption in the sense to change a child's surname and register him in the official documents as the parents own child is not permissible.","Sistani","daughter,mahr,wife","daughter,mahr,wife"
"13",13,"

What is the stance of Islam in regards to adopting children and if a child is with the family from his or her early days and develops a bond, do the laws of Mahram and Non-Mahram still have to be observed?","Adoption in the sense of claiming a child as your own son or daughter and getting official legal documents for him or her in your name is not permissible. 
However, there is no Ishkaal (objection) in taking care of a child, raising him or her and showing love and care, which is in itself rewarding but the child's lineage has to be preserved. 
In addition, the child would remain non-Mahram once reached the age of Buloogh (puberty). 
At the appropriate moment, the child should be informed about it (being adopted0 and if one cannot inform the child, he should record it somewhere or ask someone to bear witness that he/she is not his child.","Sistani","daughter","daughter"
"30",30,"

What is the philosophy of Azadari (mourning and lamentation) for Imam Husain?","There is no doubt that the tragedy of Kerbala, when ascribed to the killers, is a criminal and terrible act. However when ascribed to Husain (A) himself, it represents a conscious confrontation and a courageous resistance for a sacred cause. The whole nation had failed to stand up to Yazid. They had succumbed to his will, and deviation and regression towards the pre-Islamic ways were increasing.
Passiveness by Husain (A) in this situation would have meant the end of Islam as we know it. Thus Husain (A) took upon himself the responsibility of the whole nation. The greatest tragedy was that one who stood up for the noblest of causes, the defense of Islam, was cut down in so cruel a manner.
It is for this reason that the sacrifice of Husain (A) is commemorated annually throughout the Muslim world. Our sorrow never abates as we relive the tragedy.
The commemoration of Ashura on the 10th of Muharram every year serves to remind us of the sacrifices of the family of the Prophet (S). It also makes us aware of the people, then and now, who tried to destroy Islam and the family of the Prophet (S) and all that they stood for - as well as those who watched, listened and did nothing.","Sistani","family,family","family,family"
"36",36,"

Due to a number of miscarriages, the doctors have stated due to my condition, I can no longer get pregnant, are we, as husbands and wives, able to use our own fertilised egg and use a ""surrogate mother"", to carry the feotus in their womb?","If the sperm and egg belong to the husband and wife and the inseminated egg is then implanted in another woman's womb, there is no problem. It is permissible per se. However, since implanting involves touching and seeing the private part, insemination would be allowed only when the parties to the marriage may face difficulty in their life which is not normally bearable. If this is the case, looking and touching would be allowed to the necessary extent.  
However, when it comes to who the child belongs to, the owner of the egg or the owner of the womb, that is a problematic issue. In any case, precaution has to be observed in inheritance. As for mahramiyah, the owner of sperm is the legal father and the owner of the egg is mahram (related) to the child because she is her father's wife and the owner of the womb is mahram to him because she is like his mother.","Sistani","wife,woman,marriage,mahr,mahr,wife,mahr,mother","wife,woman,marriage,mahr,mahr,wife,mahr,mother"
"37",37,"

A man lived with a woman whom he intended to marry and also had sex with her without entering into a marriage contract (‘aqd); thereafter he married her in the proper religious way. Is their co-habitation before the ‘aqd considered marriage in the eyes of religious law? Does the subsequent ‘aqd have retroactive effect? What will be the status of the children born before the ‘aqd?","In [an Islamic] marriage, the spousal relationship is established by the verbal expression of the proposition and the acceptance (Nikah 'aqd). More over no action or deed that reflects the intention of marriage can be a substitute for the spoken words. Consequently, the marriage mentioned in the question is not valid except after the pronouncement of the religious marriage formula that does not have any retroactive effect.
As for the children, they will be considered legitimate if the parents did not know the law [requiring the ‘aqd] because their relationship will be classified as “wat’i bis-shubha”. But if both were aware of the law, their relationship is considered adulterous. Consequently the children will be deemed illegitimate. However, if only one knew about the law without the other, the children will be deemed legitimate in relation to the ignorant parent only.","Sistani","marriage,marriage,marriage,marriage","marriage,marriage,marriage,marriage"
