"","X","Question","Answer","Speaker"
"1",1,"

Is it permissible to eat foods prepared by Christians and Jews?","Since the followers of the past revealed religions (that is, the Jews, the Christians and the Zoroastrians) are ritually pure, many of the problems concerning the status and permissibility of the food are resolved when we live with them. It becomes permissible for us as Muslims to eat from their food no matter whether they touched it with their wet hands or not, as long as we do not know or are not sure that it consists of what is forbidden to us, like Haram meat.","Sistani"
"2",2,"

Is it permissible to eat food prepared from non-Ahlul Kitãb (i.e. Those who are neither Christians, Jews, nor Zoroastrians) people?","A Muslim is allowed to eat the food prepared by someone who is not from Ahlul Kitãb [for example, a Hindu or a Buddhist], provided that he does not know or is not sure that the non-Ahlulkitab touched the food with wetness; and provided that he does not know or is not sure that the food consists of what is forbidden to him like for example, Haram meat, fat and their extracts. ","Sistani"
"3",3,"

What is the fatwa about Ahlul Kitab? Are they ritually pure (Tahir)?","The Ahlul Kitab (that is, the Christians, the Jews and the Zoroastrians) are ritually pure (Tahir) as long as you do not know that they have become ritually impure (najis) by coming into contact with an impure object.","Sistani"
"4",4,"

Can I eat Christians' foods that contain meat?","All kinds of food with the exception of meat, fat, and their extracts are permissible for a Muslim, even if he doubts that it might contain something which is forbidden for him.","Sistani"
"5",5,"

In certain cases doctors advise that the foetus is so deformed that it could be very difficult to treat the born baby and, perhaps, it (the child) would live a very short time suffering pain and agony with his parents, then dies. Is it permissible for the would be mother to abort the foetus? Also, is there any difference between the foetus with a spirit and that which the spirit has not yet entered into yet? Assuming it is permissible, should compensation [or blood money] be payable? Who should pay it?","Abortion in this case is not permissible, even though the soul has not entered the foetus, [let alone a foetus with a soul] .","Sistani"
"6",6,"

Is a mother allowed to abort the feotus, if she does not want it while the soul has not yet entered it and there is no serious danger to the mother’s life?","She is not allowed to do that, except if the continuation of the pregnancy would considerably harm her health or put her in an unbearable difficulty, then it is permissible before the soul enters the feoutus (i.e. the fourth month).","Sistani"
"7",7,"

Sometimes the doctors reach the following conclusion: This foetus is afflicted with a very serious disease; it is therefore preferable that it should be aborted because if that child is born, it will be deformed or will die soon after birth. Is it, therefore, permissible for the doctor to abort the foetus? Is it permissible for the mother to agree to the abortion? And who of the two will become liable for indemnity?","Just the fact that the child will be deformed or that it will not live for a long time after his birth does not ever justify the termination of the pregnancy. Therefore, it is not permissible for the mother to consent to the abortion just as it is not permissible for the doctor to go ahead with the procedure. And whoever performs the abortion will become liable for the payment of indemnity.","Sistani"
"8",8,"

What is your ruling on aborting an “unwanted pregnancy” before  months into the pregnancy?","It is not permissible .","Sistani"
"9",9,"

What is the kaffara of abortion?","In case the mother aborts the child, she must give the indemnity (blood money) to the father or other heirs. And if the father carries out the abortion, the indemnity is obligatory on him and he must give it to the mother.  If it is the doctor who carries out the abortion, it is obligatory on him to give the blood money to the mother and father, even if he may abort the fetus on the parents’ request. He must give the blood money except if the heirs (i.e. the mother and father)exempt him. 
It would suffice for the blood money of the fetus into which soul has entered to give 5250 mithqals of silver. That is when the fetus is male and if it is female, half of that amount should be paid. 
If the fetus is lifeless and it is in the form of a fertilized ovum (zygote), 105 mithqals of silver would suffice for the blood money. In case it is in the form of a leech-like substance, the indemnity is 210 mithqals. If it develops into a chewed-like substance, the indemnity is 315 mithqals. If the fetus has bones, 420 mithqals of silver would suffice. If it has developed into a complete human body with grown up limbs and organs, the indemnity is 525 mithqals of silver. If the fetus is soulless, there is no difference between a male fetus and a female one as an obligatory precaution. The Soul enters the body at the fourth month of pregnancy except for when it is proved otherwise through modern technology. 
If the fetus is alive and it is aborted, the indemnity is 5250 mithqal of silver for a male child and 2625 mithqal for a female child. 
*Every mithqal of silver is equivalent to 4.64 g of Silver.*","Sistani"
"10",10,"

I have a medical illness, and have become pregnant recently, under what circumstances is an abortion allowed?","Abortion is not allowed after the implantation of the [fertilized] ovum [on the lining of the womb], except if the mother’s life is in danger,  and in this case, it would be permissible to abort the foetus as long as the soul has not entered into it (i.e. before the end of 4 months); after the entering of the soul, it is not permissible, as an obligatory precaution.","Sistani"
"11",11,"

What is the ruling on abortion for a pregnant woman who is infected with AIDS?","It is not permissible, only if continuation of the pregnancy poses a considerable harm to the health mother, it is permissible for her to abort it before the entering of the soul in the feotus, but not after it.","Sistani"
"12",12,"

Are we allowed to adopt children and consider them as our own children?","It is permissible for a person to adopt a child and taking care of a deserving child on its own earns is a rewarding deed, but the child legally (Islamic Shariah) is not considered his son or daughter; i.e. the child remains non-mahram to him or his wife and he or she does not inherit from the ones who has adopted him or her. 
Adoption in the sense to change a child's surname and register him in the official documents as the parents own child is not permissible.","Sistani"
