"","Question","Answer"
"1","
									السؤال : اني من مقلدي العالم الفلاني، هل يجوز ان اقلد عالم اخر في فتوى معينة فقط علما انهم من نفس المذهب والدرجة العلمية ","
									الجواب : لا يجوز التبعيض في التقليد إلا في فروض نادرة أو غير واقعة نعم، إذا كان المرجع الجامع للشرائط لا يفتي في المسالة ويحتاط فيها وجوباً تخيّر المكلف بين العمل به والرجوع لمجتهد آخر، الأعلم فالأعلم مع الإمكان."
"2","
									السؤال : هل ان اشارة بعض اهل الخبرة الى مرجع بالقول ان تقليده مجز ومبرء للذمة يكفي في تقليده اذا كان من ضمن مجموعة مراجع منحصرة فيهم الاعلمية ؟ وهل فيه اشارة الى اعلميته ؟
								","
									الجواب : نعم، يكفي ذلك في تقليده في فرض السؤال، واذا كان في التعبير اشارة الى الاعلمية ـ ولو بشاهد الحال ـ تعين تقليده وكذلك إذا اوجبت الشهادة رجحان احتمال اعلميته او التوقف في اجزاء تقليد غيره.
								"
"3","
									السؤال : اذا تعارض الشياع مع شهادات اهل الخبرة فأيهما يكون المقدم ؟
								","
									الجواب : لا مجال للتعارض بين الأمرين، فاذا حصل العلم واليقين بالأعلمية من خلال الشياع او غيره كان هو الحجة ولا يرجع إلى قول أهل الخبرة. واذا لم يحصل العلم من الشياع كان المرجع شهادة الثقة من أهل الخبرة إذا استندت شهادته إلى الاختبار ونحوه ولا يكفي استنادها للحدس والتخمين.
								"
"4","
									السؤال : لقد تضاربت أقوال أهل الخبرة في الوقت الحاضر كما تعلمون في تشخيص الأعلمية ، فما حكم المكلف المبتدئ الذي يريد التقليد الآن ؟
								","
									الجواب :  يجب الاحتياط بين أقوال من اجتمعت فيهم شرائط التقليد في مفروض السؤال ، ومع تعذره وتعسره - كما هو الغالب - فاللازم اختيار من يرجح احتمال أعلميته على غيره ، ومع تساويهم في ذلك يختار الأورع منهم ، ومع تساويهم في ذلك يختار أحدهم ويقلده .
هذا في المقلد الابتدائي ، وأما من كان مقلداً - بوجه صحيح - مرجعاً سابقاً فاللازم عليه البقاء على تقليده حتى يثبت عنده بوجه شرعي أن بعض الأحياء أعلم من الأول ، فيعدل إليه حينئذ .
								"
"5","
									السؤال : عند عدم تيسر معرفة الأعلم هل يمكن للمكلف العمل بالاحتياط ، أو الاحتمال ، أو الظن ؟ أو يتخير وهو بعد لم يقلد المجتهد الذي يفتي بذلك ؟ أي أنه ما زال في مرحلة البحث عن المرجع الذي يجب عليه أن يقلده .
								","
									الجواب : يجب عليه الرجوع إلى كافة المجتهدين في هذه المسألة والعمل بأحوط الأقوال فيها ، ومع تعسُّر الاحتياط أو تعذره يختار أحدهم .
								"
"6","
									السؤال : إذا لم يمكن معرفة الأعلم ، فهل يجب على المكلف الأخذ بأحوط الأقوال ؟ أو يكفيه أن يقلد أحد المجتهدين على التخيير ؟
								","
									الجواب : يجب الاحتياط ، ومع تعذره أو تعسره - كما هو الغالب - يجب تقليد من كان احتمال الأعلمية فيه أقوى .
								"
"7","
									السؤال :  هل يستطيع المكلف أن يحتاط في بعض المسائل ؟ أي يقلد في البعض ويحتاط في الآخر ؟
								","
									الجواب : نعم يجوز له ذلك .
								"
"8","
									السؤال : ما هي الأسس التي ينبغي على المكلف العمل بها عند الاحتياط ؟ وهل هناك مواضع يجب فيها التقليد أو الاجتهاد دون الاحتياط ؟ وهل يجوز في المسألة الواحدة الاحتياط تارة والتقليد تارة أخرى ؟
								","
									الجواب : الاحتياط عبارة عن العمل باحتمال التكليف ، ويتخير العامي بينه وبين التقليد دائماً ، فله العمل في المسألة الواحدة تارة على الاحتياط وأخرى على التقليد .
								"
"9","
									السؤال :  ورد في المسألة الخامسة من مسائل التقليد : ( مع اختلاف أهل الخبرة تسقط شهادتهم ) ، فما هو العمل بالنسبة للمكلف مع تعذر العمل بالاحتياط وعدم تيسر الوصول إلى تحديد الأعلم بحجة شرعية ؟ 
								","
									الجواب : يجب اختيار من يكون احتمال الأعلمية فيه أكثر ، ومع تساوي الاحتمال يختار الأورع ، ومع عدمه يتخير - إن تعذر العمل بالاحتياط أو تعسر كما هو الغالب - ، وقد ذكرنا تفصيل ذلك في رسالتنا ( منهاج الصالحين ) .
								"
"10","
									السؤال :  لو صعب تشخيص الأعلم وتحرّج الاحتياط بين المجتهدين ، فهل يحق اختيار المجتهد الأسهل في فتواه ما دام له حق الاختيار إذا لم يستطيع تشخيص الأورع منهم كذلك ؟
								","
									الجواب : نعم يحق له ذلك ، لكن ليحذر من تأثير رغبته في التخفيف على اختياره ، بحيث يختار المرجوح ويغفل عن المرجحات .
								"
