"","Question","Answer"
"1","
									Question : Is it permissible for non-Shias to make use of your edicts without becoming Shia Muslims?
								","
									Answer : Our edicts are based on the teachings of the Imams of the Ahlulbait (peace be upon them) through the narrations that reached us in reliable ways, which all Muslims are required to act upon. The Prophet (peace be upon him and his holy progeny) ordered the nation of Islam to refer to the Ahlulbait and follow them in the famous well-known narration that is reported by numerous ways in the books of Shias and Sunnis: ""I leave among you the two weighty things: the Book of Allah and my progeny; as long as you follow both of them, you will never be misguided."" Acting upon this narration, as well as other similar narrations, to follow the AhlulBait is not obligatory on the Shias only, but it is an obligation on all Muslims.
								"
"2","
									Question : Is it necessary to follow the most knowledgeable religious scholar?
								","
									Answer : Yes, it is obligatory to follow the most knowledgeable Mujtahid.
								"
"3","
									Question : If I am in the taql<U+012B>d of a certain marja, should I follow him only on Sharia matters or all matters?
								","
									Answer : It is obligatory on the individual to refer to the marja in learning about the religious rulings and implementing them in the matters of his worships, dealings, family relations and relations with other people, since the sharia has rulings and guidance for all issues that one could run into. In other aspects of life, the marja is referred to as an advisor since he has knowledge on the Holy Quran and the teachings of the Ahlulbait (peace be upon them).
								"
"4","
									Question : When one is starting taql<U+012B>d and is choosing a marja, how does one make a decision? Is it obligatory to follow the most knowledgeable? What if there are maraja who say that it is not obligatory to follow the most knowledgeable?
								","
									Answer : When a person starts emulating a marja after he realizes his responsibility in observing the rulings of the Sharia, he refers to the basic logic that every sane person will arrive at, and upon which one will be responsible to act in accordance to. There is no doubt that this logic obligates the ignorant to refer to the knowledgeable in what the latter knows. As the knowledgeable in the religious sciences (i.e. the mujtahids) differ in their views in various religious rulings, including their view in following the most knowledgeable, it becomes necessary to follow the edicts of one of them based on a distinguished characteristic that others do not possess, which is being the most knowledgeable. Although the views of some of the mujtahids do not necessitate following the most knowledgeable, but in order to assure that we fulfil our responsibility of observing the Sharia with certainty, the initial logical ruling leads to following the edicts of the most knowledgeable in the issue of referring to the most knowledgeable mujtahid. This is so because the view of mujtahids who do not necessitate following the most knowledgeable allow following the most knowledgeable. To the contrary, the views of those who necessitate following the most knowledgeable do not allow following any mujtahid other than the most knowledgeable. In other words, following the most knowledgeable is obligatory according to some and permissible according to others, whereas not following the most knowledgeable is permissible according to some and prohibited according to others. It is natural then to follow the most knowledgeable in this issue. If his view ñ in this issue ñ necessitates following the most knowledgeable, one should follow him in the rest of his views. If his view does not necessitate following the most knowledgeable, then one can follow another mujtahid.
								"
"5","
									Question : If one is not aware of the differences between marja's opinions on a particular ruling, and does not know the verdict of his own marja, can he follow the edict of another marja'?
								","
									Answer : If one is aware that there are differences between the maraja's in the rulings that affect him, which is usually the case, then he must observe precaution. Since this is not practical for many to do so, he must find the most knowledgeable from them and follow him.
								"
"6","
									Question : If a person commits an act which his marja deems to be prohibited, and on Judgment Day it is discovered that the act was not actually a sin after all, will this person not be punished for it since the act was not prohibited? Or will he get punished because he disobeyed the edict of his marja?
								","
									Answer : The said person is not considered as disobedient, but is liable for proceeding to commit an act that he was informed to be a sin. An example of this is if a person drinks from a glass thinking it to be wine, but it turns out to be water.
								"
"7","
									Question : What is the age of religiously recognized adulthood (bulugh)?
								","
									Answer : Religious adulthood is recognized for the male by any of the following three signs, whichever happen first: 1. The presence of hard hair on his face or in the pubic area. 2. The release of semen, whether it was during a wet dream or when awake. 3. The completion of fifteen lunar years. The female reaches adulthood when she completes the age of nine lunar years.
								"
"8","
									Question : When I go to study in the Islamic seminary of Najaf, what do I have to study to become a mujtahid?
								","
									Answer : A believer should aim to fulfill the religious responsibilities of upholding the orders of the Sharia; one of them is learning the Islamic laws and teaching them. This could be achieved by learning more about the religion ñ and not necessarily reaching the level of ijtihad ñ by which a believer could serve Islam. One could serve the religion and be a role model amongst his society, family and friends by being obedient to the Islamic laws and by spreading the religious teachings in the areas where he resides. Therefore, ijtihad is not a goal that a student should have from the beginning. Ijtihad is a talent that can be achieved by studying and with the guidance of Almighty Allah. A student of Islamic studies should study hard and make use of his time as much as possible. If he achieves this, then he can thank Almighty Allah for this bounty. If he does not, he can still serve the religion.
								"
"9","
									Question : I came across many authentic traditions of the Imams of the Ahlulbait (peace be upon them) about ghusl, purification and ablution. These traditions are highly descriptive and specific about the main issues in jurisprudence. Is it permissible for me to follow my understanding of these traditions, and follow the rulings of my marja in other issues?
								","
									Answer : You should follow the scholar who has reached the level of ijtihad and fulfills all the other conditions of the marja in all issues. The derivation of the edicts from the religious sources require a great amount of knowledge and experience gained from continuous studying and research over many years. The authenticity of the traditions is only one factor taken into consideration in this process. Only the scholars who have reached the level of ijtihad have the capability to undertake this.
								"
"10","
									Question : Do mujtahids differ in the laws of the prayer? For example one tells us to pray this way and another tells us to pray another way?
								","
									Answer : It is natural to have different derivations, as people differ in their understanding of a single text, whereas the mujtahids deal with numerous texts, plus the fact that as time passes further away from the time of the texts, fallacies and probabilities increase. From this, the mission of a mujtahid becomes harder and his responsibility becomes greater in protecting the religion in a correct way and to the greatest possible extent. The oppressors and the liars throughout the times have made obstacles for us in obtaining the truths from the Imams (peace be upon them) which made the mission of the mujtahids more difficult. Therefore some variations are to be expected, in all areas of jurisprudence.
								"
"11","
									Question : According to another marja synthetic alcohol is tahir and it is allowed to use perfume containing such alcohol; however, Sayyid Al-Hakeem considers all types of alcohol as najis. Both of them are marjas of taqleed, so why are their edicts different?
								","
									Answer : The difference in deriving the laws between religious jurists naturally originates from their difference in understanding the religious texts or considering some of them over the others. His Eminence, Sayyid Al-Hakeem (may Allah prolong his life) sees that alcohol is najis, if it is an intoxicant and naturally liquid. Based on this, the prayer is invalid if the praying personís body or clothes came in contact with it.
								"
"12","
									Question : The edict of my marja is that taking the lottery prize is lawful, and according to another marja taking it is unlawful. If I take this money and on the Day of Judgment it becomes known that the edict of my marja was wrong, how will my action be judged?
								","
									Answer : If the layperson acted upon the edicts of the qualified marja he is following, then Almighty Allah will excuse him if his marja was not correct.
								"
"13","
									Question : If one quotes an edict of a marja for somebody else, and later realizes that he has recalled it incorrectly, is it obligatory upon him to inform the person?
								","
									Answer : It is obligatory to inform the misinformed person if the latter is expected to act upon it.
								"
